2019-12-24 14:24:13.865 [main] INFO  c.z.s.SpringbootWebInterceptorApplication - Starting SpringbootWebInterceptorApplication on Wade-Why with PID 2420 (F:\MyIdeaProgram\SpringBoot\springboot\springboot-web-interceptor\target\classes started by wadewhy in F:\MyIdeaProgram\SpringBoot\springboot)
2019-12-24 14:54:31.797 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-12-24 14:54:32.836 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.0.2m  2 Nov 2017]
2019-12-24 14:54:32.959 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-12-24 14:54:32.959 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2789 ms
2019-12-24 14:54:33.344 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-24 14:54:33.718 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-12-24 14:54:33.722 [main] INFO  c.z.s.SpringbootWebInterceptorApplication - Started SpringbootWebInterceptorApplication in 4.652 seconds (JVM running for 8.711)
2019-12-24 14:54:44.698 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-24 14:54:44.698 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-12-24 14:54:44.713 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 15 ms
2019-12-24 14:54:44.728 [http-nio-8080-exec-1] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/user/login
2019-12-24 14:54:44.751 [http-nio-8080-exec-1] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-URL: /user/login
2019-12-24 14:54:44.751 [http-nio-8080-exec-1] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-HTTP_METHOD: GET
2019-12-24 14:54:44.751 [http-nio-8080-exec-1] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-IP: 0:0:0:0:0:0:0:1
2019-12-24 14:54:44.753 [http-nio-8080-exec-1] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-REQUEST_METHOD: com.zzh.springbootwebinterceptor.controller.UserController.login
2019-12-24 14:54:44.753 [http-nio-8080-exec-1] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-Args: [null, null, {}]
2019-12-24 14:54:44.765 [http-nio-8080-exec-1] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-Response: login
2019-12-24 14:54:44.766 [http-nio-8080-exec-1] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-SpeedTime: 15ms
2019-12-24 14:54:44.770 [http-nio-8080-exec-1] INFO  c.z.s.config.LogHandlerInterceptor - postHandle返回modelAndView之前执行
2019-12-24 14:54:45.251 [http-nio-8080-exec-1] INFO  c.z.s.config.LogHandlerInterceptor - afterCompletion执行完请求方法完全返回之后
2019-12-24 14:54:45.315 [http-nio-8080-exec-3] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/css/floating-labels.css
2019-12-24 14:54:45.315 [http-nio-8080-exec-2] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/webjars/bootstrap/4.1.3/css/bootstrap.min.css
2019-12-24 14:54:45.352 [http-nio-8080-exec-2] INFO  c.z.s.config.LogHandlerInterceptor - postHandle返回modelAndView之前执行
2019-12-24 14:54:45.353 [http-nio-8080-exec-2] INFO  c.z.s.config.LogHandlerInterceptor - afterCompletion执行完请求方法完全返回之后
2019-12-24 14:54:45.354 [http-nio-8080-exec-3] INFO  c.z.s.config.LogHandlerInterceptor - postHandle返回modelAndView之前执行
2019-12-24 14:54:45.355 [http-nio-8080-exec-3] INFO  c.z.s.config.LogHandlerInterceptor - afterCompletion执行完请求方法完全返回之后
